ID,EVENT_TYPE,DAY_OF_WEEK,RANGE_DATE_START,RANGE_DATE_END,DISTRICT,districtIdWiki,STREETS_1,STREETS_2,NO_OF_VICTIMS,CPFA_HAIL,hail+ice,HAIL+ICE+RAIN,HAIL+ICE+RAIN+FOG,weatherCondition,WeatherConditionID,CPFA_ICE,CPFA_RAIN,CPFA_FOG,CPFA_DRY,CPFA_SNOW,CPSV_WET,CPSV_OIL,Wet+Oil,CPSV_MUD,Wet+Oil+Mud,CPSV_LOOSE_GRAVEL,Wet+Oik+Mud+Gravel,CPSV_ICE,Wet+Oil+Mud+Gravel+Ice,CPSV_DRY_AND_CLEAN,SurfaceCondition
2018-1,ATROPELLO,LUNES,1/01/2018 00:00,1/01/2018 00:59,Usera,https://www.wikidata.org/wiki/Q953368,CALLE DE SAN BASILIO,CALLE DEL CRISTO DE LA VICTORIA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-3,CHOQUE CON OBJETO FIJO,LUNES,1/01/2018 01:00,1/01/2018 01:59,Hortaleza,https://www.wikidata.org/wiki/Q1928529,AVENIDA DE FRANCISCO PI Y MARGALL,AVENIDA DE NICETO ALCALA ZAMORA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-9,COLISION DOBLE,LUNES,1/01/2018 01:00,1/01/2018 01:59,San Blas,https://www.wikidata.org/wiki/Q2001937,AVENIDA DE CANILLEJAS A VICALVARO,CALLE DE ALCALA,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-12,COLISION DOBLE,LUNES,1/01/2018 06:00,1/01/2018 06:59,Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,CALLE DE ASCAO,CALLE DE LOS HERMANOS GARCIA NOBLEJAS,3,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-16,ATROPELLO,LUNES,1/01/2018 06:00,1/01/2018 06:59,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,CALLE DEL CABO LOPEZ MARTINEZ NUM,,2,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-8,CHOQUE CON OBJETO FIJO,LUNES,1/01/2018 06:00,1/01/2018 06:59,Moratalaz,https://www.wikidata.org/wiki/Q2076109,CALLE DE LA FUENTE CARRANTONA,CALLE DE LUIS DE HOYOS SAINZ,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-25,COLISION DOBLE,LUNES,1/01/2018 13:00,1/01/2018 13:59,Arganzuela,https://www.wikidata.org/wiki/Q2000929,CALLE DE ANCORA,PASEO DE LAS DELICIAS,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-76,ATROPELLO,LUNES,1/01/2018 15:00,1/01/2018 15:59,Centro,https://www.wikidata.org/wiki/Q1763376,CALLE DE ALCALA NUM,,2,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-20,CHOQUE CON OBJETO FIJO,LUNES,1/01/2018 18:00,1/01/2018 18:59,Salamanca,https://www.wikidata.org/wiki/Q1773521,AUTOVIA  M-30 CALZADA 1 KM.,,2,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-43,COLISION DOBLE,LUNES,1/01/2018 19:00,1/01/2018 19:59,Chamartín,https://www.wikidata.org/wiki/Q1766348,AUTOVIA  M-30 CALZADA 1 KM.,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-23,COLISION DOBLE,LUNES,1/01/2018 21:00,1/01/2018 21:59,Carabanchel,https://www.wikidata.org/wiki/Q1001991,CALLE  VIA CARPETANA,CALLE DE CASIMIRO ESCUDERO,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-34,COLISION DOBLE,LUNES,1/01/2018 21:00,1/01/2018 21:59,Retiro,https://www.wikidata.org/wiki/Q2002296,AVENIDA DEL MEDITERRANEO NUM,,2,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-363,COLISION DOBLE,MARTES,2/01/2018 06:00,2/01/2018 06:59,Centro,https://www.wikidata.org/wiki/Q1763376,CALLE DE SEGOVIA NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-33,COLISION DOBLE,MARTES,2/01/2018 12:00,2/01/2018 12:59,Arganzuela,https://www.wikidata.org/wiki/Q2000929,RONDA DE VALENCIA NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
2018-98,COLISION DOBLE,MARTES,2/01/2018 12:00,2/01/2018 12:59,Salamanca,https://www.wikidata.org/wiki/Q1773521,CALLE DE GOYA NUM,,1,, ,  ,   ,DRY,WeatherCondition01,,,,DRY,,,, ,,  ,,   ,,    ,DRY AND CLEAN,DRY AND CLEAN
