Column,OBJECTID,STREET_NAM,street_name_URI,Divided,LTS,ExisFacil,Shape__Length,osm_type,osm_id,lat,lon,importance
0,228,Adams Street,Adams-Street,no,3,SLM,110.100489632546,way,506126419,42.2713823,-71.0681607,0.41
1,204,Albany Street,Albany-Street,no,3,BL,104.216507856868,way,48941599,42.3467181,-71.0609504,0.41
2,2576,Albany Street Connector,Albany-Street-Connector,no,1,SUP,978.3095051097189,,,,,
3,191,Alford Street,Alford-Street,yes,4,SLM,191.416051331252,way,38783470,42.3896109,-71.0711719,0.41
4,72,American Legion Highway,American-Legion-Highway,yes,2,BFBL,281.859177874188,way,426627262,42.285904,-71.109802,0.51
5,346,Antwerp St,Antwerp-St,no,2,BL,84.7833610556958,way,8644264,42.3591092,-71.1401905,0.41
6,1991,Arborway,Arborway,yes,3,BL,404.16933485613504,way,8652438,42.3091309,-71.1209069,0.32
7,1158,Arlington Street,Arlington-Street,no,4,SLM,63.2410494875231,way,89641249,42.3546476,-71.0720688,0.41
8,2509,Arnold Arboretum Trails,Arnold-Arboretum-Trails,no,1,SUP,821.157523802044,,,,,
9,223,Ashmont Street,Ashmont-Street,no,3,SLM,118.293986042421,way,426678900,42.2858079,-71.0640963,0.42
10,266,A Street,A-Street,no,2,BL,53.2189231674535,way,712375229,42.348726,-71.0497423,0.41
11,269,Atlantic Avenue,Atlantic-Avenue,no,3,BL,130.447352609683,way,591136308,42.3526659,-71.0553675,0.41
12,2936,Babcock Street,Babcock-Street,no,3,SLM,55.302052511381504,way,533506541,42.351794,-71.121279,0.41
13,18,Baker Street,Baker-Street,no,3,BL,128.568572643539,way,630213533,42.287972,-71.171569,0.41
14,164,Ballou Avenue,Ballou-Avenue,no,1,NW,477.48916621665995,way,8642540,42.285293,-71.082747,0.41
15,2571,Barry Playground Path,Barry-Playground-Path,no,1,SUP,510.398057388025,,,,,
16,13,Beacon Street,Beacon-Street,no,2,BFBL,77.4158091967962,way,89641250,42.3554337,-71.0725717,0.41
17,333,Beech Street,Beech-Street,no,3,SLM,71.82974256062091,way,435203976,42.283289,-71.144897,0.41
18,33,Belgrade Avenue,Belgrade-Avenue,no,3,BL,93.21228389283769,way,312345520,42.2869647,-71.130392,0.41
19,2721,Belle Isle Marsh Path,Belle-Isle-Marsh-Path,no,1,SUC,224.89562420303398,,,,,
20,1129,Belvidere Street,Belvidere-Street,no,3,BL,112.75517896875,way,591278029,42.345339,-71.08171,0.41
21,260,Bennington Street,Bennington-Street,yes,4,SLM,164.142459870301,way,579180077,42.3879014,-71.0024661,0.41
22,2530,Blackwell Path,Blackwell-Path,no,1,NSUP,828.8739492694,,,,,
23,2528,Blossom Street Shared-Use Bridge,Blossom-Street-Shared-Use-Bridge,no,1,WALK,249.46922501937001,,,,,
24,2024,Blue Hill Avenue,Blue-Hill-Avenue,yes,4,SLM,129.486651709922,way,426467420,42.2918647,-71.089014,0.51
25,2868,Bold Knob Path,Bold-Knob-Path,no,1,SUP,224.95905033096,,,,,
26,2177,Border Street,Border-Street,no,3,BL,29.1330536976215,way,575422180,42.374995,-71.0398458,0.41
27,2573,Boston Bike Pike,Boston-Bike-Pike,no,1,SUP,123.461480470718,,,,,
28,2659,Boston Harbor Islands Trails,Boston-Harbor-Islands-Trails,no,1,SUC,17.673942372443896,,,,,
29,2519,Boston Harborwalk,Boston-Harborwalk,no,1,SUC,1825.74980330293,way,570185090,42.3538789,-71.0478489,0.42
30,1360,Boston University Bridge,Boston-University-Bridge,no,3,BL,363.81172160929805,way,327284817,42.3509682,-71.1108575,0.52
31,146,Boylston Street,Boylston-Street,no,4,CL,122.037327213244,way,8645818,42.3484393,-71.0834401,0.66
