longitude,latitude,id,name,station_name_URI
-71.10061883950203,42.34011512227757,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,Colleges-of-the-Fenway
-71.0696160000585,42.3453920000846,4,Tremont St at E Berkeley St,Tremont-St-at-E-Berkeley-St
-71.09017900015567,42.341813999823096,5,Northeastern University - North Parking Lot,Northeastern-University
-71.06520965669037,42.361304069814715,6,Cambridge St at Joy St,Cambridge-St-at-Joy-St
-71.04388475407822,42.35294080215376,7,Fan Pier,Fan-Pier
-71.13731300034387,42.35333399968179,8,Union Square - Brighton Ave at Cambridge St,Union-Square
-71.1156389998359,42.35124600010773,9,Commonwealth Ave at Buick St,Commonwealth-Ave-at-Buick-St
-71.10827900030516,42.350405999920135,10,B.U. Central - 725 Comm. Ave.,B.U.-Central
-71.10650000007269,42.338628999791496,11,Longwood Ave at Binney St,Longwood-Ave-at-Binney-St
-71.08801916275175,42.336282398366976,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,Ruggles-T-Stop
-71.07308900013463,42.33643699972224,13,Boston Medical Center - E Concord St at Harrison Ave,Boston-Medical-Center
-71.10286116560523,42.33741748432907,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,HMS/HSPH
-71.13776206995102,42.36154570788763,15,Brighton Mills - 370 Western Ave,Brighton-Mills
-71.07657015332028,42.34807412347183,16,Back Bay T Stop - Dartmouth St at Stuart St,Back-Bay-T-Stop
-71.11923300028586,42.36506399983371,17,Soldiers Field Park - 111 Western Ave,Soldiers-Field-Park
-71.10530099979836,42.34724100030415,19,Park Dr at Buswell St,Park-Dr-at-Buswell-St
-71.05142980835413,42.35991176114246,20,Aquarium T Stop - 200 Atlantic Ave,Aquarium-T-Stop
-71.08257799970221,42.34595899997871,21,Prudential Center - Belvedere St,Prudential-Center
-71.05554700020197,42.35217500030547,22,South Station - 700 Atlantic Ave,South-Station
-71.05762900038313,42.35892000021675,23,Boston City Hall - 28 State St,Boston-City-Hall
-71.04436084590746,42.35148193431008,24,Seaport Square - Seaport Blvd at Northern Ave,Seaport-Square
-71.0768469997178,42.341331999905215,25,South End Library - Tremont St at W Newton St,South-End-Library
-71.06892200029753,42.34152199976577,26,Washington St at Waltham St,Washington-St-at-Waltham-St
-71.09517100017328,42.331184000239105,27,Roxbury Crossing T Stop - Columbus Ave at Tremont St,Roxbury-Crossing-T-Stop
-71.12456500006209,42.3637319997762,29,Innovation Lab - 125 Western Ave at Batten Way,Innovation-Lab
-71.10507935307841,42.334397811689314,30,Brigham Circle - Francis St at Huntington Ave,Brigham-Circle
-71.04199782036605,42.34896049740313,31,Seaport Hotel - Congress St at Seaport Ln,Seaport-Hotel
-71.10169708733756,42.345194289577165,32,Landmark Center - Brookline Ave at Park Dr,Landmark-Center
-71.09700899995698,42.34870600017342,33,Kenmore Square,Kenmore-Square
-71.05825602984136,42.35530156089461,35,Arch St at Franklin St,Arch-St-at-Franklin-St
-71.07732653658614,42.34976701005909,36,Copley Square - Dartmouth St at Boylston St,Copley-Square
-71.1467353997146,42.357329218922075,37,New Balance - 20 Guest St,New-Balance
-71.07404082985686,42.33851460200026,39,Washington St at Rutland St,Washington-St-at-Rutland-St
-71.05087700039964,42.36387099994983,40,Lewis Wharf at Atlantic Ave,Lewis-Wharf-at-Atlantic-Ave
-71.12383100011817,42.352261000100256,41,Packard's Corner - Commonwealth Ave at Brighton Ave,Packard's-Corner
-71.07062700001185,42.35203300010876,42,Boylston St at Arlington St,Boylston-St-at-Arlington-St
-71.0506990001244,42.3571430001515,43,Rowes Wharf at Atlantic Ave,Rowes-Wharf-at-Atlantic-Ave
-71.05745199993282,42.36061300025432,44,Congress St at North St,Congress-St-at-North-St
-71.09785348190108,42.34468084035572,45,Yawkey Way at Boylston St.,Yawkey-Way-at-Boylston-St.
-71.08582377452048,42.34366582419455,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,Christian-Science-Plaza
-71.05606699988564,42.362811000115244,47,Cross St at Hanover St,Cross-St-at-Hanover-St
-71.05540699956155,42.35675500028852,48,Post Office Square - Pearl St at Milk St,Post-Office-Square
-71.06628899957222,42.3511460003105,49,Stuart St at Charles St,Stuart-St-at-Charles-St
-71.0732924936993,42.35114198249671,50,Boylston St at Berkeley St,Boylston-St-at-Berkeley-St
-71.07903778587989,42.33509899281829,51,Washington St at Lenox St,Washington-St-at-Lenox-St
-71.08595399969396,42.34871699979582,52,Newbury St at Hereford St,Newbury-St-at-Hereford-St
-71.08981087773876,42.35082680637814,53,Beacon St at Massachusetts Ave,Beacon-St-at-Massachusetts-Ave
-71.06334799977367,42.354978999819416,54,Tremont St at West St,Tremont-St-at-West-St
-71.08808799975367,42.34726499979584,55,Boylston St at Massachusetts Ave,Boylston-St-at-Massachusetts-Ave
-71.08416482783751,42.328540462988286,56,Dudley Square - Dudley St at Warren St,Dudley-Square
-71.08138847934906,42.340542615652126,57,Columbus Ave at Massachusetts Ave,Columbus-Ave-at-Massachusetts-Ave
-71.07284188258313,42.355549323362595,58,Beacon St at Arlington St,Beacon-St-at-Arlington-St
-71.05936699970941,42.351355999767314,59,Chinatown Gate Plaza,Chinatown-Gate-Plaza
-71.0709281269732,42.360714448625295,60,Charles Circle - Charles St at Cambridge St,Charles-Circle
-71.08238299970853,42.34876200010223,61,Boylston St at Fairfield St,Boylston-St-at-Fairfield-St
-71.05737626566616,42.34404051019572,63,Dorchester Ave at Gillette Park,Dorchester-Ave-at-Gillette-Park
-71.04930013458082,42.35100449570164,64,Congress St at Sleeper St,Congress-St-at-Sleeper-St
-71.04535996923444,42.347763453913934,65,Boston Convention and Exhibition Center - Summer St at West Side Dr,Boston-Convention-and-Exhibition-Center
-71.13394662759703,42.34852014556647,66,Allston Green District - Griggs St at Commonwealth Ave,Allston-Green-District
-71.09319799977204,42.35810000025655,67,MIT at Mass Ave / Amherst St,MIT-at-Mass-Ave-/-Amherst-St
